code,name,country,city,state,city_code
GLA,Glasgow International Airport,GB,Inchinnan,Scotland,GLA
GLB,San Calos Apache,US,,,GLB
GLC,Geladi,ET,,,GLC
GLD,Renner Field,US,Goodland,Kansas,GLD
GLE,Municipal,US,Gainesville,Texas,GLE
GLF,Golfito Airport,CR,,,GLF
GLG,Glengyle,AU,,,GLG
GLH,Greenville Airport,US,Metcalfe,Mississippi,GLH
GLI,Glen Innes,AU,Glen Innes,New South Wales,GLI
GLK,Galcaio,SO,Gaalkacyo,Mudug,GLK
GLL,Klanten Airport,NO,Gol,Buskerud,GLL
GLM,Glenormiston,AU,,,GLM
GLN,Goulimime Airport,MA,Guelmim,Guelmim-Es Smara,GLN
GLO,Gloucestershire,GB,Gloucester,England,GLO
GLP,Gulgubip,PG,,,GLP
GLQ,Glennallen,US,,,GLQ
GLR,Otsego County,US,Gaylord,Michigan,GLR
GLS,Scholes Field,US,Galveston,Texas,GLS
GLT,Gladstone Airport,AU,,,GLT
GLU,Gelephu Airport,BT,Sarpang,Geylegphug,GLU
GLV,Golovin Airport,US,,,GLV
GLW,Municipal,US,Glasgow,Kentucky,GLW
GLX,Galela,ID,,,GLX
GLY,Goldsworthy,AU,,,GLY
GLZ,Gilze-Rijen,NL,Breda,North Brabant,GLZ
GMA,Gemena,CD,Gemena,Equateur,GMA
GMB,Gambela Airport,ET,Gambela,Gambela,GMB
GMC,Guerima,CO,Saint Peter Port,St Peter Port,GMC
GMD,Ben Slimane,MA,Bouznika,Chaouia-Ouardigha,GMD
GME,Gomel Airport,BY,Gomel,Gomel,GME
GMI,Gasmata Island,PG,,,GMI
GMM,Gamboma,CG,Gamboma,Plateaux,GMM
GMN,Greymouth,NZ,Greymouth,West Coast,GMN
GMO,Gombe Lawanti International Airport,NG,Akko,Gombe,GMO
GMP,Gimpo International Airport,KR,Bucheon-si,Gyeonggi-do,SEL
GMQ,Golog Maqin Airport,CN,Dawu,Qinghai Sheng,GMQ
GMR,Gambier Island,PF,,,GMR
GMS,Guimaraes,BR,Bequimao,Maranhao,GMS
GMT,Granite Mountain,US,,,GMT
GMU,Greenville Downtown,US,Greenville,South Carolina,GSP
GMV,Monument Valley,US,,,GMV
GMZ,La Gomera Airport,ES,Alajero,Canary Islands,GMZ
GNA,Grodno Airport,BY,Hrodna,Grodnenskaya,GNA
GNB,Grenoble-Isere Airport,FR,Saint-Etienne-de-Saint-Geoirs,Rhone-Alpes,LYS
GND,Maurice Bishop International Airport,GD,Saint George's,Saint George,GND
GNF,Gansner Field,US,Charleston,Mississippi,GNF
GNG,Gooding,US,Gooding,Idaho,GNG
GNI,Green Island,TW,Taitung,Taiwan,GNI
GNJ,Ganja International Airport,AZ,Ganja,,GNJ
GNM,Guanambi,BR,Guanambi,Bahia,GNM
